,,,,,,,,
,Excel Sample Data,,,,,,,
,1061,1/31/2024,Daniel Hernandez,2/2/2024,149.99,1,14.999,164.989
,1062,1/31/2024,Jennifer Davis,2/4/2024,69.99,2,13.998,153.978
,1063,2/1/2024,Michael Martinez,2/2/2024,39.99,3,11.997,131.967
,1064,2/1/2024,Jessica Wilson,2/5/2024,199.99,1,19.999,219.989
,1065,2/1/2024,David Rodriguez,2/3/2024,29.99,5,14.995,164.945
,1066,2/2/2024,Sarah Gonzalez,2/6/2024,79.99,2,15.998,175.978
,1067,2/3/2024,Matthew Smith,2/6/2024,49.99,3,14.997,164.967
,1068,2/4/2024,Emily Johnson,2/5/2024,129.99,1,12.999,142.989
,1069,2/4/2024,Daniel Brown,2/8/2024,19.99,4,7.996,87.956
,1070,2/4/2024,Jennifer Hernandez,2/7/2024,149.99,1,14.999,164.989
